排名,市区,违规企业数,1月报警总次数,2月报警总次数,环比±%,违规报警车辆数,车均报警,违规报警数,,,
,,,,,,,次数,超速,疲劳驾驶,0-5点行驶,离线位移
1,韩城市,2,2,3,50.00%,3,1,0,0,0,3
2,商洛市,7,20,20,0.00%,16,1.25,0,9,2,9
3,西安市,63,172,363,111.05%,256,1.42,20,151,1,191
4,安康市,10,33,46,39.39%,32,1.44,1,19,1,25
5,宝鸡市,20,181,195,7.73%,135,1.44,10,63,3,119
6,铜川市,16,210,222,5.71%,126,1.76,8,49,0,165
7,渭南市,42,407,443,8.85%,250,1.77,13,241,12,177
8,咸阳市,52,641,525,-18.10%,293,1.79,102,178,7,238
9,榆林市,128,1568,1071,-31.70%,589,1.82,114,422,0,535
10,延安市,101,1123,1001,-10.86%,488,2.05,103,417,0,481
11,汉中市,11,205,175,-14.63%,77,2.27,30,53,0,92
12,西咸新区,8,22,73,231.82%,32,2.28,22,14,1,36
13,杨凌区,1,0,3,100%,1,3,0,0,0,3
汇总,,461,4584,4140,-9.69%,2298,1.8,423,1616,27,2074
